"names";"ID";"nbr_MS";"start";"end";"used";"blank (ID)";"color";"concentration";"unit";"acq_T0 (ID)";"delta_T (s)";"grp1";"grp2";"..."
"fl_034_Bl1";"32";"46";"1075";"1120";"TRUE";"";"";"";"";"";"";"";"";""
"fl_035_FqP";"33";"30";"1121";"1150";"TRUE";"";"";"";"";"";"";"";"";""
"fl_036_FqM";"34";"30";"1151";"1180";"TRUE";"";"";"";"";"";"";"";"";""
"fl_037_FqP";"35";"30";"1181";"1210";"TRUE";"";"";"";"";"";"";"";"";""
"fl_038_FqM";"36";"30";"1211";"1240";"TRUE";"";"";"";"";"";"";"";"";""
"fl_039_FqB";"37";"46";"1241";"1286";"TRUE";"";"";"";"";"";"";"";"";""
"fl_040_Bl1";"38";"30";"1287";"1316";"TRUE";"";"";"";"";"";"";"";"";""
"fl_041_FqP";"39";"30";"1317";"1346";"TRUE";"";"";"";"";"";"";"";"";""
"fl_042_FqM";"40";"30";"1347";"1376";"TRUE";"";"";"";"";"";"";"";"";""
"fl_043_Bl1";"41";"30";"1377";"1406";"TRUE";"";"";"";"";"";"";"";"";""
"fl_044_FqB";"42";"46";"1407";"1452";"TRUE";"";"";"";"";"";"";"";"";""
"fl_045_Bl1";"43";"30";"1453";"1482";"TRUE";"";"";"";"";"";"";"";"";""
"fl_046_FqB";"44";"46";"1483";"1528";"TRUE";"";"";"";"";"";"";"";"";""
"fl_047_FqM";"45";"30";"1529";"1558";"TRUE";"";"";"";"";"";"";"";"";""
"fl_048_FqP";"46";"30";"1559";"1588";"TRUE";"";"";"";"";"";"";"";"";""
"fl_049_Bl1";"47";"30";"1589";"1618";"TRUE";"";"";"";"";"";"";"";"";""
"fl_050_FqB";"48";"46";"1619";"1664";"TRUE";"";"";"";"";"";"";"";"";""
"fl_051_Bl1";"49";"30";"1665";"1694";"TRUE";"";"";"";"";"";"";"";"";""
"fl_052_FqP";"50";"30";"1695";"1724";"TRUE";"";"";"";"";"";"";"";"";""
"fl_053_FqM";"51";"30";"1725";"1754";"TRUE";"";"";"";"";"";"";"";"";""
"fl_054_FqB";"52";"46";"1755";"1800";"TRUE";"";"";"";"";"";"";"";"";""
"fl_055_FqM";"53";"30";"1801";"1830";"TRUE";"";"";"";"";"";"";"";"";""
"fl_056_FqP";"54";"30";"1831";"1860";"TRUE";"";"";"";"";"";"";"";"";""
"fl_057_Bl2";"55";"46";"1861";"1906";"TRUE";"";"";"";"";"";"";"";"";""
"fl_058_FqB";"56";"46";"1907";"1952";"TRUE";"";"";"";"";"";"";"";"";""
"fl_059_FqM";"57";"30";"1953";"1982";"TRUE";"";"";"";"";"";"";"";"";""
"fl_060_FqP";"58";"30";"1983";"2012";"TRUE";"";"";"";"";"";"";"";"";""
"fl_061_FqP";"59";"30";"2013";"2042";"TRUE";"";"";"";"";"";"";"";"";""
"fl_062_FqM";"60";"30";"2043";"2072";"TRUE";"";"";"";"";"";"";"";"";""
"fl_063_FqM";"61";"30";"2073";"2102";"TRUE";"";"";"";"";"";"";"";"";""
"fl_064_FqB";"62";"46";"2103";"2148";"TRUE";"";"";"";"";"";"";"";"";""
"fl_065_Bl1";"63";"30";"2149";"2178";"TRUE";"";"";"";"";"";"";"";"";""
"fl_066_Bl2";"64";"46";"2179";"2224";"TRUE";"";"";"";"";"";"";"";"";""
"fl_067_FqM";"65";"30";"2225";"2254";"TRUE";"";"";"";"";"";"";"";"";""
"fl_068_FqP";"66";"30";"2255";"2284";"TRUE";"";"";"";"";"";"";"";"";""
"fl_069_FqB";"67";"46";"2285";"2330";"TRUE";"";"";"";"";"";"";"";"";""
"fl_070_FqP";"68";"30";"2331";"2360";"TRUE";"";"";"";"";"";"";"";"";""
"fl_071_FqB";"69";"46";"2361";"2406";"TRUE";"";"";"";"";"";"";"";"";""
"fl_072_FqM";"70";"30";"2407";"2436";"TRUE";"";"";"";"";"";"";"";"";""
"fl_073_FqP";"71";"30";"2437";"2466";"TRUE";"";"";"";"";"";"";"";"";""
"fl_074_Bl1";"72";"30";"2467";"2496";"TRUE";"";"";"";"";"";"";"";"";""
"fl_075_FqB";"73";"46";"2497";"2542";"TRUE";"";"";"";"";"";"";"";"";""
"fl_076_FqM";"74";"30";"2543";"2572";"TRUE";"";"";"";"";"";"";"";"";""
"fl_077_Bl1";"75";"46";"2573";"2618";"TRUE";"";"";"";"";"";"";"";"";""
"fl_078_FqB";"76";"46";"2619";"2664";"TRUE";"";"";"";"";"";"";"";"";""
"fl_079_Bl1";"77";"46";"2665";"2710";"TRUE";"";"";"";"";"";"";"";"";""
"fl_080_FqP";"78";"30";"2711";"2740";"TRUE";"";"";"";"";"";"";"";"";""
"fl_101_FqM";"79";"30";"2741";"2770";"TRUE";"";"";"";"";"";"";"";"";""
"fl_102_FqB";"80";"46";"2771";"2816";"TRUE";"";"";"";"";"";"";"";"";""
"fl_103_FqP";"81";"30";"2817";"2846";"TRUE";"";"";"";"";"";"";"";"";""
"fl_104_Bl1";"82";"30";"2847";"2876";"TRUE";"";"";"";"";"";"";"";"";""
"fl_105_FqB";"83";"46";"2877";"2922";"TRUE";"";"";"";"";"";"";"";"";""
"fl_106_Bl1";"84";"30";"2923";"2952";"TRUE";"";"";"";"";"";"";"";"";""
"fl_107_FqP";"85";"30";"2953";"2982";"TRUE";"";"";"";"";"";"";"";"";""
"fl_108_FqM";"86";"30";"2983";"3012";"TRUE";"";"";"";"";"";"";"";"";""
"fl_109_FqB";"87";"46";"3013";"3058";"TRUE";"";"";"";"";"";"";"";"";""
"fl_110_Bl2";"88";"46";"3059";"3104";"TRUE";"";"";"";"";"";"";"";"";""
"fl_111_FqM";"89";"30";"3105";"3134";"TRUE";"";"";"";"";"";"";"";"";""
"fl_112_FqM";"90";"30";"3135";"3164";"TRUE";"";"";"";"";"";"";"";"";""
"fl_113_FqB";"91";"46";"3165";"3210";"TRUE";"";"";"";"";"";"";"";"";""
"fl_114_Bl2";"92";"46";"3211";"3256";"TRUE";"";"";"";"";"";"";"";"";""
"fl_115_FqP";"93";"30";"3257";"3286";"TRUE";"";"";"";"";"";"";"";"";""
"fl_116_FqB";"94";"46";"3287";"3332";"TRUE";"";"";"";"";"";"";"";"";""
"fl_117_Bl1";"95";"46";"3333";"3378";"TRUE";"";"";"";"";"";"";"";"";""
"fl_118_FqM";"96";"30";"3379";"3408";"TRUE";"";"";"";"";"";"";"";"";""
"fl_119_FqP";"97";"30";"3409";"3438";"TRUE";"";"";"";"";"";"";"";"";""
"fl_120_FqP";"98";"30";"3439";"3468";"TRUE";"";"";"";"";"";"";"";"";""
"fl_121_FqP";"99";"30";"3469";"3498";"TRUE";"";"";"";"";"";"";"";"";""
"fl_122_FqB";"100";"46";"3499";"3544";"TRUE";"";"";"";"";"";"";"";"";""
"fl_123_FqM";"101";"30";"3545";"3574";"TRUE";"";"";"";"";"";"";"";"";""
"fl_124_Bl2";"102";"46";"3575";"3620";"TRUE";"";"";"";"";"";"";"";"";""
"flw_001_FqB";"103";"46";"3621";"3666";"TRUE";"";"";"";"";"";"";"";"";""
"flw_002_Blc";"104";"30";"3667";"3696";"TRUE";"";"";"";"";"";"";"";"";""
"flw_005_FqP";"105";"30";"3697";"3726";"TRUE";"";"";"";"";"";"";"";"";""
"flw_006_FqB";"106";"46";"3727";"3772";"TRUE";"";"";"";"";"";"";"";"";""
"flw_007_FqM";"107";"30";"3773";"3802";"TRUE";"";"";"";"";"";"";"";"";""
"flw_008_Blc";"108";"30";"3803";"3832";"TRUE";"";"";"";"";"";"";"";"";""
"flw_009_Blc";"109";"30";"3833";"3862";"TRUE";"";"";"";"";"";"";"";"";""
"flw_010_FqM";"110";"30";"3863";"3892";"TRUE";"";"";"";"";"";"";"";"";""
